Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,96267473,12332.006395921218,4379850,624353,2082745,266.8027305658365,94415,16079,
United States of America,Americas,24225155,73187.19,1353825,187919,402803,1216.92,21281,4368,Community transmission
India,South-East Asia,10625428,7699.56,97745,14545,153032,110.89,1114,163,Clusters of cases
Brazil,Americas,8638249,40639.22,381713,64385,212831,1001.28,6867,1340,Community transmission
Russian Federation,Europe,3677352,25198.65,156821,21513,68412,468.79,3917,580,Clusters of cases
The United Kingdom,Europe,3543650,52200,283388,37892,94580,1393.22,8565,1290,Community transmission
France,Europe,2939128,45027.88,134348,22551,71607,1097.03,2679,346,Community transmission
Spain,Europe,2456675,52543.83,181396,17423,55041,1177.23,1250,80,Community transmission
Italy,Europe,2428221,40161.23,91942,14055,84202,1392.65,3354,521,Clusters of cases
Germany,Europe,2106262,25139.21,105304,17862,50642,604.44,5648,859,Community transmission
Colombia,Americas,1956979,38460.45,124999,17908,49792,978.56,2668,390,Community transmission
Argentina,Americas,1831681,40527.71,74252,12112,46216,1022.57,1233,150,Community transmission
Mexico,Americas,1688944,13099.42,117043,20548,144371,1119.74,7454,1539,Community transmission
Turkey,Europe,1591878,18874.74,41415,0,24487,290.34,992,0,Community transmission
Poland,Europe,1464448,38694.3,42128,6693,34908,922.35,2064,347,Community transmission
South Africa,Africa,1380807,23281.7,84001,11381,39501,666.02,3649,647,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1354520,16126.59,42710,6204,57150,680.41,612,93,Community transmission
Ukraine,Europe,1182969,27049.33,36006,5348,21662,495.32,1120,163,Community transmission
Peru,Americas,1078675,32715.02,35035,5461,39157,1187.59,684,113,Community transmission
Indonesia,South-East Asia,951651,3479.23,82051,11703,27203,99.45,1957,346,Community transmission
Netherlands,Europe,932884,54443.59,37516,5857,13337,778.35,577,91,Community transmission
Czechia,Europe,924847,86361.81,50242,7488,15130,1412.83,1101,157,Community transmission
Canada,Americas,725495,19222.41,44167,5744,18462,489.16,1079,196,Community transmission
Romania,Europe,703776,36583.18,18859,2878,17554,912.48,519,69,Community transmission
Belgium,Europe,686827,59262.24,10566,1,20620,1779.18,287,4,Community transmission
Chile,Americas,685107,35839.08,28395,4367,17702,926.02,408,108,Community transmission
Iraq,Eastern Mediterranean,611407,15200.62,5221,809,12977,322.63,55,9,Community transmission
Portugal,Europe,595149,58366.77,77343,13544,9686,949.91,1302,221,Clusters of cases
Israel,Europe,569152,65755.84,47213,0,4158,480.39,313,0,Community transmission
Sweden,Europe,542952,53761.54,24189,4946,10921,1081.37,134,4,Community transmission
Bangladesh,South-East Asia,530271,3219.83,4548,584,7966,48.37,117,16,Community transmission
Pakistan,Eastern Mediterranean,527146,2386.44,15225,2363,11157,50.51,339,54,Community transmission
Philippines,Western Pacific,507717,4633.25,13112,1778,10116,92.32,377,74,Community transmission
Switzerland,Europe,504630,58307.57,14237,2192,8238,951.86,374,47,Community transmission
Morocco,Eastern Mediterranean,463706,12562.96,7372,1164,8076,218.8,222,33,Clusters of cases
Austria,Europe,396857,44063.9,10334,1779,7222,801.87,342,57,Community transmission
Serbia,Europe,379093,54437.94,11021,1648,3830,549.99,143,20,Community transmission
Saudi Arabia,Eastern Mediterranean,365775,10506.59,1335,212,6342,182.17,32,4,Sporadic cases
Hungary,Europe,356973,36952.38,7824,1311,11811,1222.63,634,98,Community transmission
Japan,Western Pacific,351020,2775.38,41806,5799,4830,38.19,515,87,Clusters of cases
Jordan,Eastern Mediterranean,318181,31184.63,6138,776,4198,411.44,91,11,Community transmission
Panama,Americas,303777,70404.03,15369,2243,4912,1138.42,318,48,Community transmission
Lebanon,Eastern Mediterranean,269241,39446.66,32109,4594,2151,315.14,370,67,Community transmission
Nepal,South-East Asia,268646,9220.16,2100,336,1979,67.92,36,4,Clusters of cases
United Arab Emirates,Eastern Mediterranean,267258,27021.96,24289,3529,766,77.45,40,4,Community transmission
Georgia,Europe,251974,63164.57,6185,903,3022,757.55,129,24,Community transmission
Ecuador,Americas,236189,13387.08,10187,1874,14526,823.33,280,89,Community transmission
Slovakia,Europe,233027,42681.74,12320,1785,3894,713.23,532,93,Clusters of cases
Belarus,Europe,232298,24583.56,12635,1804,1619,171.34,65,9,Community transmission
Azerbaijan,Europe,228246,22511.29,2046,218,3053,301.11,82,9,Clusters of cases
Croatia,Europe,227969,55530.86,4157,643,4770,1161.92,220,32,Community transmission
Kazakhstan,Europe,219527,11691.45,5672,0,2956,157.43,71,0,Clusters of cases
Bulgaria,Europe,213864,30778.69,2913,455,8741,1257.98,345,90,Clusters of cases
Dominican Republic,Americas,199672,18406.49,12185,1549,2482,228.8,54,12,Community transmission
Bolivia (Plurinational State of),Americas,193745,16597.67,14927,2655,9764,836.46,271,42,Community transmission
Denmark,Europe,192265,33193.77,5604,760,1909,329.58,206,37,Community transmission
Tunisia,Eastern Mediterranean,190884,16151.13,19989,2511,5989,506.74,511,68,Community transmission
Costa Rica,Americas,187712,36848.77,5556,835,2492,489.19,108,15,Community transmission
Ireland,Europe,181922,36842.83,18865,2598,2818,570.7,330,50,Community transmission
